City ID,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Min Temp,Max Temp,Wind Speed
0,2517750,Felanitx,1,ES,2022-11-24 03:16:23,81,39.4696,3.1483,52.322,61.952000000000055,81
1,3369157,Cape Town,90,ZA,2022-11-24 03:11:53,90,-33.9258,18.4232,57.90199999999999,59.882000000000005,90
2,3860443,Comodoro Rivadavia,0,AR,2022-11-24 03:16:27,23,-45.8667,-67.5,57.05599999999998,57.05599999999998,23
3,5866583,Saint Paul Harbor,20,US,2022-11-24 03:16:30,75,57.79,-152.4072,36.91399999999999,36.91399999999999,75
4,1735106,George Town,40,MY,2022-11-24 03:08:19,84,5.4112,100.3354,82.238,84.88399999999996,84
5,119505,Qazvin,0,IR,2022-11-24 03:16:34,60,36.2797,50.0049,38.822,38.822,60
6,746565,Görele,61,TR,2022-11-24 03:16:36,56,41.0308,39.0031,59.05400000000003,59.05400000000003,56
7,3374210,São Filipe,100,CV,2022-11-24 03:16:37,64,14.8961,-24.4956,77.05400000000003,77.05400000000003,64
8,5282297,Bethel,0,US,2022-11-24 03:12:58,72,41.3712,-73.414,29.55200000000002,41.936000000000035,72
9,3874787,Punta Arenas,0,CL,2022-11-24 03:14:37,81,-53.15,-70.9167,39.110000000000014,39.307999999999936,81
10,2347758,Bara,100,NG,2022-11-24 03:16:42,20,10.3744,10.7288,66.70400000000001,66.70400000000001,20
11,3366880,Hermanus,100,ZA,2022-11-24 03:16:44,79,-34.4187,19.2345,57.79400000000004,57.79400000000004,79
12,1214488,Meulaboh,67,ID,2022-11-24 03:16:46,77,4.1363,96.1285,80.34800000000001,80.34800000000001,77
13,2037485,Erenhot,13,CN,2022-11-24 03:16:47,34,43.6475,111.9767,38.58800000000002,38.58800000000002,34
14,2742416,Barcelos,100,PT,2022-11-24 03:13:20,91,41.5388,-8.6151,55.92199999999997,59.14400000000006,91
15,5106841,Albany,12,US,2022-11-24 03:14:10,77,42.6001,-73.9662,27.949999999999932,38.048,77
16,2163355,Hobart,75,AU,2022-11-24 03:08:49,57,-42.8794,147.3294,61.23200000000003,67.262,57
17,3833367,Ushuaia,75,AR,2022-11-24 03:16:54,81,-54.8,-68.3,38.85799999999995,38.85799999999995,81
18,5924351,Clyde River,100,CA,2022-11-24 03:16:56,71,70.4692,-68.5914,-5.566000000000031,-5.566000000000031,71
19,3418910,Upernavik,100,GL,2022-11-24 03:16:58,89,72.7868,-56.1549,21.452000000000055,21.452000000000055,89
20,3383434,Nieuw Amsterdam,92,SR,2022-11-24 03:17:00,92,5.8833,-55.0833,76.01000000000005,77.16199999999998,92
21,2194098,Ahipara,56,NZ,2022-11-24 03:17:02,67,-35.1667,173.1667,64.43599999999998,64.43599999999998,67
22,5354943,Half Moon Bay,20,US,2022-11-24 03:17:04,72,37.4636,-122.4286,50.88199999999995,60.476000000000056,72
23,2112802,Hasaki,3,JP,2022-11-24 03:17:06,57,35.7333,140.8333,66.59600000000006,68.28799999999995,57
24,3698359,Chicama,6,PE,2022-11-24 03:17:09,80,-7.8447,-79.1469,63.13999999999993,63.13999999999993,80
25,3386213,Touros,7,BR,2022-11-24 03:16:29,79,-5.1989,-35.4608,77.68399999999991,77.68399999999991,79
26,1529376,Korla,0,CN,2022-11-24 03:17:13,34,41.7597,86.1469,39.97399999999999,39.97399999999999,34
27,1819729,Hong Kong,100,HK,2022-11-24 03:16:35,91,22.2855,114.1577,71.94199999999995,74.03000000000003,91
28,1153241,Huai Yot,99,TH,2022-11-24 03:17:16,86,7.7893,99.6348,81.51800000000009,83.82199999999995,86
29,6445060,Sainte-Maxime,0,FR,2022-11-24 03:17:17,50,43.3,6.6333,50.75599999999997,55.994000000000085,50
30,713055,Babanka,100,UA,2022-11-24 03:17:21,91,48.7097,30.4483,40.83800000000002,40.83800000000002,91
31,2075265,Busselton,100,AU,2022-11-24 03:17:22,51,-33.65,115.3333,67.06400000000002,67.06400000000002,51
32,5122534,Jamestown,0,US,2022-11-24 03:17:27,62,42.097,-79.2353,25.52000000000004,38.839999999999975,62
33,1507390,Dikson,92,RU,2022-11-24 03:17:29,98,73.5069,80.5464,-21.406000000000006,-21.406000000000006,98
34,3372707,Ribeira Grande,74,PT,2022-11-24 03:17:31,72,38.5167,-28.7,59.773999999999944,59.773999999999944,72
35,4032243,Vaini,40,TO,2022-11-24 03:17:32,74,-21.2,-175.2,84.36200000000002,84.36200000000002,74
36,209598,Manono,100,CD,2022-11-24 03:17:34,91,-7.3,27.4167,66.9919999999999,66.9919999999999,91
37,3137469,Sørland,100,NO,2022-11-24 03:17:36,57,67.667,12.6934,39.05599999999998,39.05599999999998,57
38,1863997,Fukuechō,75,JP,2022-11-24 03:17:38,55,32.6881,128.8419,66.56,66.56,55
39,1490796,Strezhevoy,100,RU,2022-11-24 03:17:40,96,60.7333,77.5889,0.98599999999999,0.98599999999999,96
40,2191562,Dunedin,86,NZ,2022-11-24 03:13:16,52,-45.8742,170.5036,58.80200000000008,58.80200000000008,52
41,3416888,Grindavik,0,IS,2022-11-24 03:17:43,70,63.8424,-22.4338,41.46800000000002,42.74599999999998,70
42,1604771,Yaring,84,TH,2022-11-24 03:17:45,76,6.8662,101.3689,82.04000000000002,82.04000000000002,76
43,2155415,New Norfolk,100,AU,2022-11-24 03:17:46,49,-42.7826,147.0587,60.88999999999993,65.91199999999998,49
44,86049,Jalu,2,LY,2022-11-24 03:17:48,65,29.0331,21.5482,57.88399999999996,57.88399999999996,65
45,1106677,Bambous Virieux,40,MU,2022-11-24 03:17:50,78,-20.3428,57.7575,77.25200000000001,78.22399999999999,78
46,1520381,Ordzhonīkīdze,100,KZ,2022-11-24 03:17:52,96,52.4411,61.7408,22.639999999999986,22.639999999999986,96
47,2063036,Port Lincoln,0,AU,2022-11-24 03:17:53,64,-34.7333,135.8667,64.382,64.382,64
48,6170031,Tuktoyaktuk,100,CA,2022-11-24 03:17:55,92,69.4541,-133.0374,10.399999999999977,10.399999999999977,92
49,551667,Kavkazskiy,100,RU,2022-11-24 03:17:57,86,44.2672,42.2347,40.69400000000002,40.69400000000002,86
50,3443061,Chui,5,UY,2022-11-24 03:17:59,71,-33.6971,-53.4616,59.593999999999994,59.593999999999994,71
51,1273246,Deogarh,14,IN,2022-11-24 03:18:01,47,21.5333,84.7333,70.80799999999994,70.80799999999994,47
52,2098329,Daru,100,PG,2022-11-24 03:18:02,63,-9.0763,143.2092,86.93599999999998,86.93599999999998,63
53,2871736,Merseburg,20,DE,2022-11-24 03:18:05,84,51.3667,12.0,37.202000000000055,39.72199999999998,84
54,2108857,Gizo Government Station,62,SB,2022-11-24 03:18:08,68,-8.103,156.8419,84.05599999999998,84.05599999999998,68
55,2110227,Butaritari,12,KI,2022-11-24 03:18:12,69,3.0707,172.7902,80.88799999999998,80.88799999999998,69
56,4020109,Atuona,12,PF,2022-11-24 03:18:15,77,-9.8,-139.0333,77.89999999999992,77.89999999999992,77
57,1502422,Kosh-Agach,76,RU,2022-11-24 03:18:17,74,50.0,88.6667,-0.057999999999992724,-0.057999999999992724,74
58,2017155,Saskylakh,96,RU,2022-11-24 03:18:19,100,71.9167,114.0833,-35.24800000000005,-35.24800000000005,100
59,4035715,Avarua,75,CK,2022-11-24 03:18:25,78,-21.2078,-159.775,78.85399999999998,78.85399999999998,78
60,2122090,Pevek,100,RU,2022-11-24 03:18:27,95,69.7008,170.3133,-23.187999999999988,-23.187999999999988,95
61,2029156,Sühbaatar,95,MN,2022-11-24 03:18:30,75,50.2314,106.2078,16.412000000000035,16.412000000000035,75
62,3838859,Río Gallegos,0,AR,2022-11-24 03:18:32,75,-51.6226,-69.2181,39.25400000000002,39.25400000000002,75
63,2264557,Ponta do Sol,30,PT,2022-11-24 03:18:34,67,32.6667,-17.1,64.00399999999996,66.12799999999999,67
64,2208248,Kaitangata,73,NZ,2022-11-24 03:18:35,48,-46.2817,169.8464,59.54000000000002,59.54000000000002,48
65,2092164,Lorengau,97,PG,2022-11-24 03:18:37,63,-2.0226,147.2712,86.43199999999996,86.43199999999996,63
66,3423146,Ilulissat,13,GL,2022-11-24 03:18:39,92,69.2167,-51.1,14.018000000000029,14.018000000000029,92
67,546105,Nikolskoye,33,RU,2022-11-24 03:18:41,91,59.7035,30.7861,17.779999999999973,22.910000000000025,91
68,6201424,Mataura,54,NZ,2022-11-24 03:18:43,76,-46.1927,168.8643,56.47999999999996,56.47999999999996,76
69,795243,Snezhnogorsk,67,RU,2022-11-24 03:18:45,94,69.1933,33.2531,11.786000000000001,11.983999999999924,94
70,2126123,Chokurdakh,70,RU,2022-11-24 03:18:46,100,70.6333,147.9167,-30.56800000000004,-30.56800000000004,100
71,2400547,Gamba,81,GA,2022-11-24 03:18:48,88,-2.65,10.0,76.56800000000004,76.56800000000004,88
72,3454005,Piaçabuçu,30,BR,2022-11-24 03:18:50,86,-10.4056,-36.4344,75.02000000000004,75.02000000000004,86
73,964432,Port Alfred,56,ZA,2022-11-24 03:18:53,84,-33.5906,26.891,65.17399999999992,65.17399999999992,84
74,5110365,Broome,0,US,2022-11-24 03:18:55,75,42.2506,-75.833,24.90799999999996,35.97800000000001,75
75,2134814,Sola,40,VU,2022-11-24 03:18:58,70,-13.8833,167.55,90.26600000000002,90.26600000000002,70
76,3006414,La Seyne-sur-Mer,0,FR,2022-11-24 03:19:00,54,43.0982,5.8847,52.537999999999954,56.60599999999994,54
77,2136697,Lakatoro,98,VU,2022-11-24 03:19:02,66,-16.0999,167.4164,85.62200000000001,85.62200000000001,66
78,5896969,Beaverlodge,100,CA,2022-11-24 03:19:04,92,55.2166,-119.4361,36.75200000000001,36.75200000000001,92
79,3517970,Pochutla,97,MX,2022-11-24 03:19:06,85,15.7432,-96.4661,75.81200000000007,75.81200000000007,85
80,2349431,Sabla,2,NG,2022-11-24 03:19:08,17,12.7525,4.7077,67.92800000000005,67.92800000000005,17
81,964420,Port Elizabeth,40,ZA,2022-11-24 03:18:53,82,-33.918,25.5701,62.31200000000007,64.094,82
82,3577154,Oranjestad,12,AW,2022-11-24 03:14:20,87,12.524,-70.027,79.916,79.916,87
83,3174922,Legnago,6,IT,2022-11-24 03:19:17,84,45.1832,11.3091,36.08600000000001,42.710000000000036,84
84,3831208,Qaanaaq,91,GL,2022-11-24 03:19:19,90,77.484,-69.3632,11.299999999999955,11.299999999999955,90
85,3936456,Lima,0,PE,2022-11-24 03:16:59,81,-12.0432,-77.0282,66.45200000000006,66.90199999999999,81
86,1525988,Ayagoz,100,KZ,2022-11-24 03:19:23,89,47.9714,80.4392,0.06799999999998363,0.06799999999998363,89
87,1274468,Chetwayi,100,IN,2022-11-24 03:19:24,80,10.5333,76.05,77.16199999999998,77.16199999999998,80
88,3571913,Marsh Harbour,6,BS,2022-11-24 03:19:26,76,26.5412,-77.0636,78.85399999999998,78.85399999999998,76
89,935215,Saint-Philippe,32,RE,2022-11-24 03:19:28,79,-21.3585,55.7679,75.11000000000007,78.38600000000002,79
90,1651103,Atambua,100,ID,2022-11-24 03:19:30,64,-9.1061,124.8925,84.23600000000005,84.23600000000005,64
91,4030556,Rikitea,99,PF,2022-11-24 03:19:32,85,-23.1203,-134.9692,71.54599999999999,71.54599999999999,85
92,1805515,Jinji,100,CN,2022-11-24 03:19:34,98,23.2281,110.8261,65.40799999999996,65.40799999999996,98
93,358620,Safaga,0,EG,2022-11-24 03:19:36,51,26.7292,33.9365,68.64799999999997,68.64799999999997,51
94,2137773,Vao,87,NC,2022-11-24 03:19:38,81,-22.6667,167.4833,74.10200000000003,74.10200000000003,81
95,5880054,Barrow,100,US,2022-11-24 03:19:40,85,71.2906,-156.7887,6.8180000000000405,6.8180000000000405,85
96,4031742,Egvekinot,100,RU,2022-11-24 03:19:41,95,66.3167,-179.1667,3.254000000000019,3.254000000000019,95
97,3466704,Castro,23,BR,2022-11-24 03:19:45,95,-24.7911,-50.0119,60.962000000000046,60.962000000000046,95
98,777019,Vardø,20,NO,2022-11-24 03:19:47,86,70.3705,31.1107,21.18199999999996,21.18199999999996,86
99,2377450,Nouakchott,5,MR,2022-11-24 03:14:59,27,18.0858,-15.9785,62.52800000000008,62.52800000000008,27
100,934517,Flic en Flac,7,MU,2022-11-24 03:19:50,77,-20.2742,57.3631,77.55799999999994,78.53000000000003,77
101,6089245,Norman Wells,40,CA,2022-11-24 03:19:52,78,65.282,-126.8329,-0.36400000000003274,-0.36400000000003274,78
102,3652764,Puerto Ayora,58,EC,2022-11-24 03:19:54,97,-0.7393,-90.3518,67.55000000000001,67.55000000000001,97
103,2161515,Kiama,5,AU,2022-11-24 03:19:55,66,-34.6833,150.8667,68.44999999999999,68.44999999999999,66
104,2446796,Bilma,16,NE,2022-11-24 03:19:57,24,18.6853,12.9164,61.952000000000055,61.952000000000055,24
105,1015776,Bredasdorp,100,ZA,2022-11-24 03:19:59,81,-34.5322,20.0403,60.53000000000003,60.53000000000003,81
106,933077,Shakawe,100,BW,2022-11-24 03:20:01,62,-18.3667,21.85,71.65400000000005,71.65400000000005,62
107,2444219,Gouré,0,NE,2022-11-24 03:20:02,22,13.9835,10.2704,64.11200000000002,64.11200000000002,22
108,4021858,Guerrero Negro,0,MX,2022-11-24 03:20:04,70,27.9769,-114.0611,62.18599999999998,62.18599999999998,70
109,6165406,Thompson,20,CA,2022-11-24 03:15:52,93,55.7435,-97.8558,23.162000000000035,23.162000000000035,93
110,1649150,Bengkulu,100,ID,2022-11-24 03:20:07,80,-3.8004,102.2655,78.31400000000002,78.31400000000002,80
111,209228,Mbuji-Mayi,94,CD,2022-11-24 03:16:27,94,-6.15,23.6,65.714,65.714,94
112,1566166,Thanh Hoa,100,VN,2022-11-24 03:20:10,91,19.8,105.7667,76.71200000000005,76.71200000000005,91
113,3687972,Calamar,14,CO,2022-11-24 03:20:12,90,10.2511,-74.9146,74.69599999999997,74.69599999999997,90
114,128321,Kāzerūn,73,IR,2022-11-24 03:20:14,66,29.6195,51.6541,60.76399999999995,60.76399999999995,66
115,1524889,Chardara,100,KZ,2022-11-24 03:20:16,57,41.2547,67.9692,53.58199999999994,53.58199999999994,57
116,2180815,Tuatapere,80,NZ,2022-11-24 03:20:17,76,-46.1333,167.6833,50.846000000000004,50.846000000000004,76
117,2206939,Bluff,36,NZ,2022-11-24 03:20:19,65,-46.6,168.3333,56.80400000000003,56.80400000000003,65
118,2152659,Port Macquarie,6,AU,2022-11-24 03:20:21,54,-31.4333,152.9167,77.89999999999992,77.89999999999992,54
119,4035249,Lufilufi,16,WS,2022-11-24 03:20:23,76,-13.8745,-171.5986,81.78799999999995,81.78799999999995,76
120,315202,Eskişehir,75,TR,2022-11-24 03:18:44,93,39.7767,30.5206,46.273999999999944,46.31000000000006,93
121,2022773,Khandyga,91,RU,2022-11-24 03:20:26,98,62.6667,135.6,-20.865999999999985,-20.865999999999985,98
122,2025256,Chumikan,2,RU,2022-11-24 03:20:28,71,54.7183,135.315,7.646000000000015,7.646000000000015,71
123,5861897,Fairbanks,100,US,2022-11-24 03:20:03,87,64.8378,-147.7164,4.981999999999971,10.363999999999976,87
124,1006984,East London,20,ZA,2022-11-24 03:20:31,88,-33.0153,27.9116,67.13600000000002,67.13600000000002,88
125,3466993,Caarapó,100,BR,2022-11-24 03:20:33,82,-22.6342,-54.8222,63.93199999999996,63.93199999999996,82
126,2126710,Beringovskiy,99,RU,2022-11-24 03:20:34,90,63.05,179.3167,26.005999999999972,26.005999999999972,90
127,5546220,Saint George,0,US,2022-11-24 03:20:07,29,37.1041,-113.5841,48.25400000000002,54.19400000000002,29
128,4034551,Faanui,97,PF,2022-11-24 03:20:38,74,-16.4833,-151.75,79.71800000000002,79.71800000000002,74
129,5870133,Nome,100,US,2022-11-24 03:20:39,86,64.5011,-165.4064,17.113999999999976,21.27199999999999,86
130,2654970,Brae,100,GB,2022-11-24 03:20:41,85,60.3964,-1.353,47.62399999999997,47.62399999999997,85
131,2015306,Tiksi,100,RU,2022-11-24 03:20:43,100,71.6872,128.8694,-26.608000000000004,-26.608000000000004,100
132,2618795,Klaksvík,100,FO,2022-11-24 03:20:44,89,62.2266,-6.589,47.31800000000004,47.31800000000004,89
133,5278931,Whitewater,97,US,2022-11-24 03:20:46,84,42.8336,-88.7323,35.92399999999998,45.08600000000001,84
134,3421719,Narsaq,96,GL,2022-11-24 03:20:48,66,60.9167,-46.05,41.21599999999995,41.21599999999995,66
135,1591474,Bac Lieu,98,VN,2022-11-24 03:20:49,77,9.285,105.7244,83.40799999999996,83.40799999999996,77
136,556268,Ostrovnoy,87,RU,2022-11-24 03:20:51,84,68.0531,39.5131,23.27000000000004,23.27000000000004,84
137,5955826,Fort Frances,0,CA,2022-11-24 03:17:37,69,48.5999,-93.4003,35.815999999999974,35.815999999999974,69
138,5024719,Duluth,75,US,2022-11-24 03:20:54,94,46.7833,-92.1066,25.555999999999983,36.87800000000004,94
139,2071860,Esperance,57,AU,2022-11-24 03:20:56,58,-33.8667,121.9,74.30000000000001,74.30000000000001,58
140,2441447,Maïné Soroa,70,NE,2022-11-24 03:20:57,22,13.2114,12.0241,66.84800000000001,66.84800000000001,22
141,1175296,Kalat,16,PK,2022-11-24 03:20:59,21,29.0225,66.5916,45.84199999999993,45.84199999999993,21
142,368246,Raja,11,SS,2022-11-24 03:21:01,41,8.4596,25.678,72.28399999999993,72.28399999999993,41
143,4866371,Marshalltown,0,US,2022-11-24 03:21:03,81,42.0494,-92.908,39.23600000000005,44.29400000000004,81
144,1282256,Hithadhoo,48,MV,2022-11-24 03:21:05,73,-0.6,73.0833,81.84199999999993,81.84199999999993,73
145,5848280,Kapaa,20,US,2022-11-24 03:21:07,78,22.0752,-159.319,72.19400000000002,78.78199999999998,78
146,1168312,Pasni,90,PK,2022-11-24 03:21:09,25,25.2631,63.471,74.58800000000002,74.58800000000002,25
147,3393692,Itarema,38,BR,2022-11-24 03:21:11,74,-2.9248,-39.9167,78.7100000000001,78.7100000000001,74
148,5983720,Iqaluit,0,CA,2022-11-24 03:21:12,63,63.7506,-68.5145,-6.069999999999993,-5.314000000000021,63
149,1809263,Guozhen,99,CN,2022-11-24 03:21:14,57,34.3659,107.359,55.14799999999997,55.14799999999997,57
150,2980080,Saint-François,42,FR,2022-11-24 03:21:16,81,46.4154,3.9054,44.04199999999997,44.04199999999997,81
151,5856516,‘Āhuimanu,75,US,2022-11-24 03:21:18,75,21.4447,-157.8378,73.36399999999998,78.512,75
152,1337607,Kudahuvadhoo,99,MV,2022-11-24 03:21:17,73,2.6708,72.8944,81.57199999999995,81.57199999999995,73
153,2074113,Collie,100,AU,2022-11-24 03:21:22,44,-33.3667,116.15,71.02399999999994,71.02399999999994,44
154,2524881,Crotone,8,IT,2022-11-24 03:21:23,69,39.0851,17.1178,56.19199999999995,56.19199999999995,69
155,6078372,Moose Factory,100,CA,2022-11-24 03:21:25,80,51.2585,-80.6094,26.581999999999994,26.599999999999966,80
156,3414079,Olafsvik,100,IS,2022-11-24 03:21:27,85,64.8945,-23.7142,39.146000000000015,39.146000000000015,85
157,3842670,Olavarría,0,AR,2022-11-24 03:21:28,56,-36.8927,-60.3225,61.268000000000086,61.268000000000086,56
158,5391295,Salinas,0,US,2022-11-24 03:21:30,67,36.6777,-121.6555,50.82800000000003,59.05400000000003,67
159,2127060,Arman',99,RU,2022-11-24 03:21:32,77,59.7,150.1667,3.0200000000000387,3.0200000000000387,77
160,2175403,Blackwater,97,AU,2022-11-24 03:21:33,23,-23.5833,148.8833,81.84199999999993,81.84199999999993,23
161,2022572,Khatanga,57,RU,2022-11-24 03:21:36,100,71.9667,102.5,-40.75600000000003,-40.75600000000003,100
162,240604,Bambari,76,CF,2022-11-24 03:21:38,80,5.768,20.6757,72.41000000000003,72.41000000000003,80
163,492042,Sloboda,17,RU,2022-11-24 03:21:40,94,51.1421,40.3021,25.628000000000043,25.628000000000043,94
164,2068110,Kununurra,75,AU,2022-11-24 03:21:41,88,-15.7667,128.7333,76.98200000000003,76.98200000000003,88
165,4726521,San Patricio,96,US,2022-11-24 03:21:43,97,28.017,-97.5169,62.85200000000003,69.656,97
166,2123979,Kuril'sk,100,RU,2022-11-24 03:21:45,66,45.2333,147.8833,40.370000000000005,40.370000000000005,66
167,2018735,Nyurba,100,RU,2022-11-24 03:21:46,99,63.2842,118.3319,-25.726,-25.726,99
168,2255542,Owando,67,CG,2022-11-24 03:21:48,91,-0.4819,15.8999,70.142,70.142,91
169,3445026,Vila Velha,20,BR,2022-11-24 03:21:50,92,-20.3297,-40.2925,73.94,75.14600000000002,92
170,3996426,Matamoros,40,MX,2022-11-24 03:21:52,35,25.5333,-103.25,68.108,71.70799999999991,35
171,4505215,Amberley,0,US,2022-11-24 03:21:53,62,39.2048,-84.428,30.75799999999998,47.299999999999955,62
172,2168305,Dubbo,0,AU,2022-11-24 03:21:58,33,-32.25,148.6167,77.12600000000003,77.12600000000003,33
173,4031574,Provideniya,100,RU,2022-11-24 03:22:01,79,64.3833,-173.3,19.363999999999976,19.50799999999998,79
174,2629833,Husavik,100,IS,2022-11-24 03:22:03,96,66.0449,-17.3389,39.81200000000001,39.81200000000001,96
175,1785964,Yudong,100,CN,2022-11-24 03:22:05,95,29.385,106.5194,61.39400000000006,62.491999999999905,95
176,1257456,Sandūr,97,IN,2022-11-24 03:22:07,79,15.1,76.55,73.25600000000003,73.25600000000003,79
177,6324729,Halifax,46,CA,2022-11-24 03:20:34,58,44.6453,-63.5724,25.699999999999932,28.454000000000008,58
178,3461888,Guarapari,100,BR,2022-11-24 03:22:10,90,-20.6667,-40.4975,73.88600000000002,73.88600000000002,90
179,1651810,Airai,68,TL,2022-11-24 03:22:12,66,-8.9266,125.4092,73.59800000000001,73.59800000000001,66
180,1622318,Waingapu,98,ID,2022-11-24 03:22:14,61,-9.6567,120.2641,88.30400000000003,88.30400000000003,61
181,6185377,Yellowknife,100,CA,2022-11-24 03:17:59,86,62.456,-114.3525,18.122000000000014,18.122000000000014,86
182,2374583,Bubaque,97,GW,2022-11-24 03:18:15,64,11.2833,-15.8333,81.93199999999996,81.93199999999996,64
183,1816373,Bijie,100,CN,2022-11-24 03:22:21,89,27.3125,105.2942,50.10799999999995,50.10799999999995,89
184,1507116,Dudinka,49,RU,2022-11-24 03:22:23,100,69.4058,86.1778,-40.846000000000004,-40.846000000000004,100
185,1624725,Tarakan,20,ID,2022-11-24 03:22:25,79,3.3,117.6333,83.69599999999997,83.69599999999997,79
186,1486321,Yar-Sale,99,RU,2022-11-24 03:22:27,100,66.8333,70.8333,-10.444000000000017,-10.444000000000017,100
187,3628473,San Cristobal,92,VE,2022-11-24 03:22:29,97,7.7669,-72.225,68.18,68.18,97
188,2028164,Deputatsky,95,RU,2022-11-24 03:22:31,99,69.3,139.9,-30.118000000000052,-30.118000000000052,99
189,2447513,Arlit,90,NE,2022-11-24 03:22:33,15,18.7369,7.3853,65.858,65.858,15
190,3424607,Tasiilaq,84,GL,2022-11-24 03:22:35,67,65.6145,-37.6368,32.162000000000035,32.162000000000035,67
191,2126682,Bilibino,100,RU,2022-11-24 03:22:37,92,68.0546,166.4372,-9.256000000000029,-9.256000000000029,92
192,2338660,Yaan,6,NG,2022-11-24 03:22:38,28,7.3833,8.5667,70.48399999999998,70.48399999999998,28
193,608872,Makat,0,KZ,2022-11-24 03:22:40,72,47.6469,53.3463,38.983999999999924,38.983999999999924,72
194,3379316,Lethem,98,GY,2022-11-24 03:22:44,86,3.3803,-59.7968,75.95599999999996,75.95599999999996,86
195,2126785,Belaya Gora,100,RU,2022-11-24 03:22:46,99,68.5333,146.4167,-30.244000000000028,-30.244000000000028,99
196,2206894,Hokitika,100,NZ,2022-11-24 03:22:48,69,-42.7167,170.9667,55.363999999999976,55.363999999999976,69
197,1280849,Kashgar,0,CN,2022-11-24 03:22:50,18,39.4547,75.9797,51.00799999999998,51.00799999999998,18
